epoch,train_loss,val_loss
1,0.23118,0.107593
2,0.0670915,0.114563
3,0.0639221,0.0776003
4,0.0630502,0.0698263
5,0.0594889,0.0741184
6,0.0605455,0.0689252
7,0.0609802,0.07476
8,0.0589776,0.0880464
9,0.0628579,0.0722467
10,0.0593721,0.0761172
11,0.062157,0.0713275
12,0.0601916,0.0718548
13,0.0563284,0.0749716
14,0.0584074,0.0738396
15,0.0589788,0.0706366
16,0.0627515,0.078832
17,0.0616729,0.0855927
18,0.0630009,0.0708276
19,0.0659338,0.0700563
20,0.0619364,0.0715668
21,0.0618799,0.0734266
22,0.0555371,0.0743276
23,0.0592981,0.0684326
24,0.0672052,0.0740713
25,0.0638586,0.070722
26,0.057529,0.077341
27,0.0599526,0.0707936
28,0.0568282,0.0706879
29,0.0592343,0.0728906
30,0.0634262,0.0801487
31,0.0691609,0.0768131
32,0.0592201,0.0662396
33,0.0574971,0.068892
34,0.055068,0.0794342
35,0.0627397,0.0995574
36,0.0598547,0.0803144
37,0.0637092,0.0707132
38,0.0565522,0.0714724
39,0.0619524,0.0766348
40,0.0657278,0.0880672
41,0.0587777,0.0844325
42,0.0593915,0.0828023
43,0.0590237,0.0700023
44,0.0560515,0.0722378
45,0.0665636,0.0712972
46,0.0568389,0.0892544
47,0.0615199,0.0742502
48,0.0642446,0.0719182
49,0.058954,0.0709448
50,0.0537759,0.0695056
51,0.0574223,0.0896444
52,0.0638146,0.080154
53,0.0594989,0.0660454
54,0.0621417,0.0737612
55,0.0606068,0.0723296
56,0.0563212,0.0698083
57,0.0535395,0.0727069
58,0.0573799,0.0900852
59,0.0561201,0.0662924
60,0.0590751,0.0779268
61,0.053877,0.0706064
62,0.0542252,0.070719
63,0.0578033,0.0870497
64,0.0714506,0.0684183
65,0.0610662,0.0767629
66,0.0660518,0.0936356
67,0.0623881,0.0911843
68,0.0622405,0.0740408
69,0.0565652,0.0680959
70,0.053672,0.0763606
71,0.0554592,0.0705266
72,0.0591194,0.0702966
73,0.055686,0.0753588
74,0.0552284,0.0778432
75,0.0582404,0.0697882
76,0.0642151,0.0894503
77,0.0633294,0.0726015
78,0.0532294,0.0788445
79,0.0570699,0.0728723
80,0.0545749,0.0801407
81,0.0634799,0.077391
82,0.0567383,0.0910168
83,0.0533389,0.0748872
84,0.0563033,0.075558
85,0.075544,0.0755735
86,0.0558926,0.0667253
87,0.0562479,0.0704147
88,0.0538601,0.0783943
89,0.0556559,0.0834169
90,0.0561757,0.106146
91,0.0598796,0.0804678
92,0.0564417,0.0789599
93,0.0549148,0.103412
94,0.0600227,0.0740624
95,0.0511481,0.0717224
96,0.052896,0.0729273
97,0.0556724,0.0802671
98,0.0532594,0.0745527
99,0.0571882,0.0737891
100,0.0567757,0.0993174
