epoch,train_loss,val_loss
1,1.10876,0.114282
2,0.119184,0.0600528
3,0.09358,0.0742275
4,0.0770488,0.0653737
5,0.0718127,0.0551206
6,0.0713004,0.0550057
7,0.0792418,0.0523468
8,0.0719982,0.0648957
9,0.0838463,0.0571372
10,0.0878878,0.0512873
11,0.0723656,0.0590061
12,0.0745322,0.0503749
13,0.0697831,0.0490844
14,0.0622108,0.0488748
15,0.0654187,0.053346
16,0.0662959,0.0540746
17,0.06227,0.0476225
18,0.0616647,0.047606
19,0.0623984,0.0502106
20,0.0600834,0.0482134
21,0.06344,0.0633339
22,0.0621492,0.0466152
23,0.0620247,0.0485491
24,0.063044,0.0517302
25,0.0659391,0.0491483
26,0.0613249,0.0493522
27,0.0625316,0.0613738
28,0.0672361,0.0497219
29,0.063066,0.0522519
30,0.0617454,0.0532323
31,0.0640522,0.0490674
32,0.0657643,0.054745
33,0.067961,0.0544645
34,0.0631113,0.0474
35,0.0604855,0.0495458
36,0.0639712,0.0510375
37,0.0651865,0.0546321
38,0.0664345,0.0749843
39,0.0657842,0.0637376
40,0.0639253,0.0470606
41,0.0626216,0.0540903
42,0.0614226,0.0514767
43,0.0623491,0.0494102
44,0.0624547,0.0487086
45,0.0636609,0.0584817
46,0.066507,0.0521185
47,0.0690232,0.0519133
48,0.0623166,0.0568991
49,0.0643943,0.0537383
50,0.0603138,0.048656
51,0.0670635,0.0700699
52,0.0583216,0.055456
53,0.07039,0.0512533
54,0.0664225,0.0569448
55,0.0618745,0.0762386
56,0.062973,0.0591333
57,0.0600598,0.0463205
58,0.0621388,0.0520867
59,0.0602834,0.0537883
60,0.0598977,0.0492091
61,0.0604067,0.0501361
62,0.0649312,0.0538465
63,0.0586679,0.064412
64,0.0617336,0.0687185
65,0.0643328,0.0519271
66,0.0592718,0.0563338
67,0.0601441,0.0548646
68,0.0594521,0.0543065
69,0.0680967,0.0498953
70,0.056388,0.0480831
71,0.0657141,0.0582935
72,0.0594231,0.0488636
73,0.0624768,0.056763
74,0.0576992,0.0598909
75,0.0601872,0.0514611
76,0.0598039,0.0534512
77,0.060691,0.0504803
78,0.0646461,0.0485184
79,0.0614872,0.0492204
80,0.0599538,0.0562425
81,0.0593174,0.0730406
82,0.0672683,0.070542
83,0.0599275,0.0747693
84,0.0634372,0.0575618
85,0.058055,0.0828135
86,0.0603672,0.0694726
87,0.0684727,0.0503674
88,0.0607701,0.0630352
89,0.0591239,0.0476037
90,0.0561699,0.0541867
91,0.058782,0.0530142
92,0.0595851,0.0507358
93,0.0564084,0.0512316
94,0.0603451,0.0516092
95,0.0674543,0.0510287
96,0.0611115,0.0499688
97,0.0579645,0.0590153
98,0.067239,0.0576639
99,0.0602183,0.0499848
100,0.057001,0.064911
