epoch,train_loss,val_loss
1,1.839,0.198411
2,0.131539,0.133109
3,0.125524,0.111444
4,0.0959316,0.10362
5,0.0847432,0.081047
6,0.0771736,0.0773061
7,0.0760425,0.074285
8,0.0803696,0.0660114
9,0.0630052,0.0742336
10,0.0607807,0.0620564
11,0.0596615,0.0641522
12,0.0557517,0.0624279
13,0.0608238,0.0742803
14,0.0559672,0.0618087
15,0.0549967,0.0617647
16,0.0578606,0.0683526
17,0.0583382,0.0719679
18,0.0558007,0.0659571
19,0.0585774,0.0652957
20,0.0555455,0.0634183
21,0.0554019,0.0765078
22,0.0554791,0.065189
23,0.0570325,0.072543
24,0.0539909,0.0668952
25,0.0545491,0.0642217
26,0.0541075,0.0697456
27,0.0549905,0.0655078
28,0.0569696,0.066513
29,0.0630485,0.0670663
30,0.0565302,0.0840178
31,0.0576749,0.0771504
32,0.0554572,0.0979911
33,0.0587449,0.0744284
34,0.0569331,0.0762748
35,0.0582694,0.07353
36,0.0550712,0.0680895
37,0.0531533,0.0811699
38,0.0541432,0.0725766
39,0.0530283,0.0789237
40,0.0559032,0.0821716
41,0.0566882,0.125117
42,0.0639772,0.0944974
43,0.0547234,0.0805922
44,0.0538502,0.0784779
45,0.0590393,0.0704772
46,0.0522109,0.069006
47,0.0539623,0.0728632
48,0.0579917,0.098155
49,0.0589016,0.0734657
50,0.0558893,0.0793509
51,0.0552656,0.0670044
52,0.0540313,0.0701171
53,0.0567005,0.0779681
54,0.0567125,0.0877731
55,0.0558821,0.0689613
56,0.0519739,0.0950663
57,0.0570852,0.0699271
58,0.0598572,0.0983383
59,0.0543424,0.0750153
60,0.0560085,0.0976725
61,0.0559942,0.0999095
62,0.0652123,0.0698817
63,0.0538554,0.0937148
64,0.0594151,0.0813083
65,0.058526,0.090203
66,0.051552,0.0912304
67,0.0544206,0.0881707
68,0.0557984,0.119862
69,0.0592619,0.0933262
70,0.0538794,0.0758692
71,0.0524453,0.0863818
72,0.0558285,0.081223
73,0.0515472,0.0936853
74,0.0564822,0.0955172
75,0.0556608,0.0919072
76,0.0602373,0.096109
77,0.0562408,0.106348
78,0.0508547,0.0806528
79,0.0548189,0.0947056
80,0.0555469,0.0890961
81,0.0505949,0.107127
82,0.0534767,0.0943811
83,0.0535032,0.1055
84,0.0525455,0.0901078
85,0.055812,0.0898355
86,0.0532075,0.16065
87,0.0592166,0.11946
88,0.0542991,0.094982
89,0.056906,0.0861078
90,0.0550031,0.0857307
91,0.0491531,0.109866
92,0.049465,0.112491
93,0.051225,0.0860538
94,0.0516841,0.0929825
95,0.0519724,0.107348
96,0.0513938,0.087084
97,0.0527571,0.0924441
98,0.049774,0.08546
99,0.0504858,0.0986439
100,0.0549326,0.102026
