epoch,train_loss,val_loss
1,183.303,67.9858
2,77.4268,156.088
3,61.656,114.666
4,85.1535,48.6268
5,52.8647,38.9675
6,73.4963,21.3014
7,92.0121,41.3416
8,107.715,32.024
9,46.7323,186.864
10,109.513,41.3769
11,49.2234,69.4528
12,92.5678,17.807
13,107.642,56.1135
14,49.4828,25.6131
15,112.311,8.17628
16,60.9227,149.492
17,72.9477,178.414
18,69.8339,38.9375
19,42.2015,176.603
20,55.2108,69.2728
21,48.3837,49.184
22,61.2887,173.529
23,82.6904,197.198
24,67.2108,66.604
25,35.4944,88.06
26,72.2591,123.304
27,93.0322,135.546
28,80.6181,225.651
29,116.193,155.538
30,92.4714,19.0733
31,81.3647,51.4443
32,40.7362,150.586
33,81.5352,51.8451
34,54.972,88.5117
35,85.0468,108.263
36,96.8018,126.651
37,49.6469,12.665
38,69.2019,10.7791
39,69.9637,71.518
40,60.4861,54.0334
41,55.0912,104.917
42,68.2507,69.8756
43,41.1422,67.9484
44,67.6045,72.0254
45,33.0376,22.8795
46,55.2008,42.2973
47,65.2119,13.1863
48,33.9085,42.5606
49,85.5784,82.547
50,37.5006,87.3482
51,88.1821,157.778
52,84.3085,63.0741
53,98.943,78.2278
54,43.0659,24.3793
55,40.2392,62.4837
56,79.4239,14.7086
57,32.1192,21.111
58,31.3965,14.1495
59,89.3846,177.632
60,71.2955,44.4536
61,39.9723,67.4998
62,28.5571,37.5909
63,59.7687,27.6633
64,41.1029,93.2871
65,48.7877,24.9473
66,52.4712,124.058
67,83.2448,31.8058
68,32.5753,19.7508
69,64.4026,77.0013
70,102.154,22.5388
71,41.7441,17.358
72,78.7563,92.1532
73,55.3213,71.0078
74,66.7535,107.786
75,53.8245,58.0528
76,84.9514,67.6864
77,36.3366,40.1311
78,36.7495,15.5665
79,27.2555,22.0961
80,29.7451,41.4111
81,26.3825,51.757
82,29.0829,28.8806
83,30.155,39.7958
84,24.4106,33.6238
85,66.936,52.4235
86,90.8611,74.6574
87,48.7757,90.5351
88,38.1325,46.7826
89,51.3516,74.8829
90,36.556,47.5112
91,34.2996,23.8218
92,24.7541,92.6878
93,75.8844,82.3856
94,56.3178,45.7657
95,57.259,83.6434
96,48.3604,15.6151
97,88.4868,149.915
98,73.4261,88.8733
99,56.3401,27.0105
100,106.543,161.88
